VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
flushbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  130;                15143;                    0;                    0;                  150; 1; 2; 0x103A8; flushbits; flushbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 7487
__free; /lib/i686/libc.so.6; Thread_4000; ;                  790;                  790;                    0;                    0;                  460; 2; 0; 0x759E0; __free; __free; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
initbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    1;                    0;                    0;                    1; 1; 1; 0x103DE; initbits; initbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 7487
putbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  477;                 1031;                    0;                    0;                 4360; 9; 1; 0x1041C; putbits; putbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 7487
alignbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   55;                  141;                    0;                    0;                  468; 9; 1; 0x104B2; alignbits; alignbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 7487
bitcount; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   13;                   13;                    0;                    0;                  150; 1; 0; 0x104C8; bitcount; bitcount; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 7487
rc_init_seq; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x104E0; rc_init_seq; rc_init_seq; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/ratectl.c; 7487
rc_init_GOP; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   25;                   25;                    0;                    0;                   13; 1; 0; 0x1083A; rc_init_GOP; rc_init_GOP; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/ratectl.c; 7487
__setfpucw; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x300E8; __setfpucw; __setfpucw; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
getenv; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    6; 1; 1; 0x305D8; getenv; getenv; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
calc_vbv_delay; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  315;                  328;                    0;                    0;                  150; 1; 1; 0x11336; calc_vbv_delay; calc_vbv_delay; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; src/ratectl.c; 7487
_IO_str_init_static; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  277;                  349;                    0;                    0;                  804; 2; 1; 0x1EAF8; _IO_str_init_static; _IO_str_init_static; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__libm_sse2_cos; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    8;                    8;                    0;                    0;                   64; 1; 0; 0x11788; __libm_sse2_cos; __libm_sse2_cos; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__strtol_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                   75; 1; 0; 0x30ABC; __strtol_internal; __strtol_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__strtod_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   10;                   14;                    0;                    0;                    2; 1; 4; 0x4F63C; __strtod_internal; __strtod_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
round_and_return; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x51D18; round_and_return; round_and_return; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
str_to_mpn; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    4;                    4;                    0;                    0;                    1; 1; 0; 0x51FE0; str_to_mpn; str_to_mpn; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
vfprintf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                 1472;                 1782;                    0;                    0;                  750; 1; 1; 0x31B24; vfprintf; vfprintf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__mpn_rshift; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x555C0; __mpn_rshift; __mpn_rshift; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
_IO_vfscanf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   43;                   60;                    0;                    0;                   54; 1; 3; 0x3A0D0; _IO_vfscanf; _IO_vfscanf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__flockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                 5095;                 5095;                    0;                    0;               148432; 7; 0; 0x40244; __flockfile; __flockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__funlockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                 5794;                 5794;                    0;                    0;               148432; 7; 0; 0x40264; __funlockfile; __funlockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
_intel_fast_memcpy.J; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   53;                   55;                    0;                    0;                    8; 1; 1; 0x15A18; _intel_fast_memcpy.J; _intel_fast_memcpy.J; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
_IO_file_doallocate; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  206;                 3548;                    0;                    0;                  452; 1; 3; 0x40284; _IO_file_doallocate; _IO_file_doallocate; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
_intel_fast_memcpy; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    8; 1; 0; 0x15A1E; _intel_fast_memcpy; _intel_fast_memcpy; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__mpn_construct_double; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x56444; __mpn_construct_double; __mpn_construct_double; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
__strsep_g; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    7; 1; 1; 0x56A00; __strsep_g; __strsep_g; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_nosse; unknown; 7487
