VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                  770;                  770;                    0;                    0;                  460; 2; 0; 0x759E0; __free; __free; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
initbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    1;                    0;                    0;                    1; 1; 1; 0xF526; initbits; initbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 8213
putbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  632;                 1124;                    0;                    0;                 4360; 9; 1; 0xF564; putbits; putbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 8213
alignbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   53;                  133;                    0;                    0;                  468; 9; 1; 0xF5FA; alignbits; alignbits; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 8213
bitcount; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   10;                   10;                    0;                    0;                  150; 1; 0; 0xF610; bitcount; bitcount; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 8213
rc_init_seq; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0xF628; rc_init_seq; rc_init_seq; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/ratectl.c; 8213
rc_init_GOP; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    4;                    4;                    0;                    0;                   13; 1; 0; 0xF982; rc_init_GOP; rc_init_GOP; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/ratectl.c; 8213
__setfpucw; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x2F248; __setfpucw; __setfpucw; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
getenv; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    3;                    3;                    0;                    0;                    6; 1; 1; 0x2F738; getenv; getenv; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
calc_vbv_delay; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  180;                  190;                    0;                    0;                  150; 1; 1; 0x1047E; calc_vbv_delay; calc_vbv_delay; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; src/ratectl.c; 8213
_IO_str_init_static; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  275;                  393;                    0;                    0;                  804; 2; 1; 0x1DC58; _IO_str_init_static; _IO_str_init_static; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
__libm_sse2_cos; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    7;                    7;                    0;                    0;                   64; 1; 0; 0x108D0; __libm_sse2_cos; __libm_sse2_cos; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
__strtol_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    3;                    3;                    0;                    0;                   75; 1; 0; 0x2FC1C; __strtol_internal; __strtol_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
__strtod_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   12;                   14;                    0;                    0;                    2; 1; 4; 0x4E79C; __strtod_internal; __strtod_internal; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
round_and_return; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x50E78; round_and_return; round_and_return; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
str_to_mpn; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    2;                    2;                    0;                    0;                    1; 1; 0; 0x51140; str_to_mpn; str_to_mpn; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
vfprintf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                 1365;                 1641;                    0;                    0;                  750; 1; 1; 0x30C84; vfprintf; vfprintf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
__mpn_rshift; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x54720; __mpn_rshift; __mpn_rshift; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
_IO_vfscanf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   35;                   52;                    0;                    0;                   54; 1; 3; 0x39230; _IO_vfscanf; _IO_vfscanf; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
__flockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                 4594;                 4594;                    0;                    0;               148432; 7; 0; 0x3F3A4; __flockfile; __flockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
__funlockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                 4607;                 4607;                    0;                    0;               148432; 7; 0; 0x3F3C4; __funlockfile; __funlockfile; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
_intel_fast_memcpy.J; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   50;                   53;                    0;                    0;                    8; 1; 1; 0x14B78; _intel_fast_memcpy.J; _intel_fast_memcpy.J; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
_IO_file_doallocate; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  200;                 3504;                    0;                    0;                  452; 1; 3; 0x3F3E4; _IO_file_doallocate; _IO_file_doallocate; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
_intel_fast_memcpy; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    8; 1; 0; 0x14B7E; _intel_fast_memcpy; _intel_fast_memcpy; /tmp/alex_vtune/MPGenc/execs/mpeg2enc_sse; unknown; 8213
