VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
write_buf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                38633;                38799;                    0;                    0;              1468167; 1; 4; 0x10120; write_buf; write_buf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/quantize.c; 4926
__free; /lib/i686/libc.so.6; Thread_4000; ;                 1926;                 1926;                    0;                    0;                  460; 2; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 4926
put_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;               282194;               320993;                    0;                    0;              4771524; 13; 1; 0x1019E; put_bits; put_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 4926
align_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  467;                 1044;                    0;                    0;                 4650; 2; 1; 0x10246; align_bits; align_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 4926
getenv; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    8;                    8;                    0;                    0;                    6; 1; 1; 0x3474C; getenv; getenv; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 4926
flushbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  209;                81197;                    0;                    0;                  150; 1; 2; 0x10264; flushbits; flushbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 4926
initbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    1;                    7;                    0;                    0;                    1; 1; 1; 0x1029A; initbits; initbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 4926
putbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  500;                 2291;                    0;                    0;                 4360; 9; 1; 0x102D8; putbits; putbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 4926
_intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   64;                   67;                    0;                    0;                    8; 1; 1; 0x19508; _intel_fast_memcpy.J; _intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 4926
alignbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   88;                  305;                    0;                    0;                  468; 9; 1; 0x1036E; alignbits; alignbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 4926
