VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
write_buf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                76265;                76423;                    0;                    0;              1468167; 1; 4; 0x10120; write_buf; write_buf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/quantize.c; 5326
__free; /lib/i686/libc.so.6; Thread_4000; ;                 1655;                 1655;                    0;                    0;                  460; 2; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
put_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;               458077;               534500;                    0;                    0;              4771524; 13; 1; 0x1019E; put_bits; put_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
align_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  694;                 1574;                    0;                    0;                 4650; 2; 1; 0x10246; align_bits; align_bits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
getenv; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    6; 1; 1; 0x3474C; getenv; getenv; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
flushbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  200;                25038;                    0;                    0;                  150; 1; 2; 0x10264; flushbits; flushbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
initbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    1;                    3;                    0;                    0;                    1; 1; 1; 0x1029A; initbits; initbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
putbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  671;                 3250;                    0;                    0;                 4360; 9; 1; 0x102D8; putbits; putbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
_intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   66;                   69;                    0;                    0;                    8; 1; 1; 0x19508; _intel_fast_memcpy.J; _intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
alignbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   98;                  421;                    0;                    0;                  468; 9; 1; 0x1036E; alignbits; alignbits; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
_intel_fast_memcpy; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    8; 1; 0; 0x1950E; _intel_fast_memcpy; _intel_fast_memcpy; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
bitcount; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   13;                   13;                    0;                    0;                  150; 1; 0; 0x10384; bitcount; bitcount; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/putbits.c; 5326
__strtol_internal; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                   75; 1; 1; 0x34C30; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
rc_init_seq; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x1039C; rc_init_seq; rc_init_seq; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/ratectl.c; 5326
__strtod_internal; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   11;                   13;                    0;                    0;                    2; 1; 6; 0x54360; __strtod_internal; __strtod_internal; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
rc_init_GOP; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   17;                   17;                    0;                    0;                   13; 1; 0; 0x105AA; rc_init_GOP; rc_init_GOP; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/ratectl.c; 5326
round_and_return; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x56A3C; round_and_return; round_and_return; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
str_to_mpn; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    2;                    2;                    0;                    0;                    1; 1; 0; 0x56D04; str_to_mpn; str_to_mpn; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                 2827;                 3195;                    0;                    0;                  750; 1; 1; 0x35C98; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
calc_vbv_delay; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  439;                  452;                    0;                    0;                  150; 1; 1; 0x10EB8; calc_vbv_delay; calc_vbv_delay; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; src/ratectl.c; 5326
__mpn_rshift; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x5A2E0; __mpn_rshift; __mpn_rshift; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
_IO_vfscanf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   53;                   70;                    0;                    0;                   54; 1; 7; 0x3E244; _IO_vfscanf; _IO_vfscanf; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
_IO_file_doallocate; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  398;                 6017;                    0;                    0;                  452; 1; 3; 0x443B8; _IO_file_doallocate; _IO_file_doallocate; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__intel_proc_init.H; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x19718; __intel_proc_init.H; __intel_proc_init.H; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__intel_proc_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                   10;                    0;                    0;                    2; 1; 1; 0x19722; __intel_proc_init; __intel_proc_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__intel_proc_init_ftzdaz; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x1974A; __intel_proc_init_ftzdaz; __intel_proc_init_ftzdaz; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__mpn_construct_double; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x5B164; __mpn_construct_double; __mpn_construct_double; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
has_osfxsr_set; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                   10;                    0;                    0;                    1; 1; 4; 0x1B4C2; has_osfxsr_set; has_osfxsr_set; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__intel_cpu_indicator_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                   10;                    0;                    0;                    1; 1; 1; 0x1B580; __intel_cpu_indicator_init; __intel_cpu_indicator_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__strsep_g; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    7; 1; 1; 0x5B798; __strsep_g; __strsep_g; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
init_mem_ops_method; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    1; 1; 0; 0x1B7C2; init_mem_ops_method; init_mem_ops_method; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__pthread_initialize_minimal; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    6;                   21;                    0;                    0;                    1; 1; 1; 0x13D50; __pthread_initialize_minimal; __pthread_initialize_minimal; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__libc_start_main; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                   42;             34935542;                    0;                    0;                    1; 1; 10; 0x1B9D0; __libc_start_main; __libc_start_main; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__libc_check_standard_fds; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    1;                    0;                    0;                    1; 1; 1; 0x1BC04; __libc_check_standard_fds; __libc_check_standard_fds; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
strstr; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                  167;                  167;                    0;                    0;                  453; 2; 0; 0x27CAC; strstr; strstr; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__libc_csu_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    3;                   27;                    0;                    0;                    1; 1; 3; 0x1BD58; __libc_csu_init; __libc_csu_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__ubp_memchr; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                   55; 1; 0; 0x27D70; __ubp_memchr; __ubp_memchr; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__libc_csu_fini; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    1;                    3;                    0;                    0;                    1; 1; 1; 0x1BD64; __libc_csu_fini; __libc_csu_fini; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
memset; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 4; 0; 0x27F8C; memset; memset; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__uselocale; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                    5;                   15;                    0;                    0;                    1; 1; 2; 0x1BD70; __uselocale; __uselocale; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
__mempcpy; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; Thread_4000; ;                 7788;                 7788;                    0;                    0;                17852; 4; 0; 0x27FD4; __mempcpy; __mempcpy; /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse; unknown; 5326
