VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
vithist_rescore; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                 3998;                30817;                    0;                    0;                14357; 1; 4; 0x1357A; vithist_rescore; vithist_rescore; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 9901
__free; /lib/i686/libc.so.6; Thread_4000; ;                80733;                80733;                    0;                    0;               362248; 27; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; unknown; 9901
vithist_frame_gc; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  356;                  356;                    0;                    0;                  478; 1; 0; 0x13758; vithist_frame_gc; vithist_frame_gc; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 9901
vfprintf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  770;                10371;                    0;                    0;                 1612; 5; 9; 0x2E62C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; unknown; 9901
enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                 7471;                16833;                    0;                    0;               135505; 2; 2; 0x407A; enter; enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 9901
vithist_prune; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                 1147;                 6228;                    0;                    0;                  478; 1; 8; 0x138CE; vithist_prune; vithist_prune; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 9901
hash_enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                    4;                   88;                    0;                    0;                  237; 3; 2; 0x4102; hash_enter; hash_enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 9901
vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  223;                 5054;                    0;                    0;                  479; 2; 2; 0x13AC8; vithist_lmstate_reset; vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 9901
hash_enter_bkey; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                   15;                83355;                    0;                    0;               135268; 2; 4; 0x4144; hash_enter_bkey; hash_enter_bkey; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 9901
vithist_frame_windup; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                   97;                 5151;                    0;                    0;                  478; 1; 1; 0x13B4C; vithist_frame_windup; vithist_frame_windup; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 9901
