VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                95539;                95539;                    0;                    0;               362253; 28; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 7955
wid_dict_lm_map; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   10;                   92;                    0;                    0;                    1; 1; 5; 0x11600; wid_dict_lm_map; wid_dict_lm_map; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/wid.c; 7955
wid_wordprob2alt; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    1; 1; 0; 0x1179C; wid_wordprob2alt; wid_wordprob2alt; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/wid.c; 7955
__pthread_key_create; /lib/i686/libpthread.so.0; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x9170; __pthread_key_create; __pthread_key_create; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 7955
tmat_chk_uppertri; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                    1;                    1;                    0;                    0;                    1; 1; 0; 0x11908; tmat_chk_uppertri; tmat_chk_uppertri; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/tmat.c; 7955
tmat_chk_1skip; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                    2;                    2;                    0;                    0;                    1; 1; 0; 0x11A0E; tmat_chk_1skip; tmat_chk_1skip; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/tmat.c; 7955
tmat_init; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   49;                  521;                    0;                    0;                    1; 1; 19; 0x11AF2; tmat_init; tmat_init; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/tmat.c; 7955
__flockfile; /lib/i686/libpthread.so.0; Thread_4000; ;                40986;                40986;                    0;                    0;               270840; 12; 0; 0x9420; __flockfile; __flockfile; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 7955
__funlockfile; /lib/i686/libpthread.so.0; Thread_4000; ;                43176;                43176;                    0;                    0;               270840; 12; 0; 0x9440; __funlockfile; __funlockfile; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 7955
kbcore_init; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   50;              5226753;                    0;                    0;                    1; 1; 14; 0x12154; kbcore_init; kbcore_init; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/tmat.c; 7955
