VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
Thread_4000; unknown; Thread_4000; ;             14286052;             14286052;                    0;                    0;                    1; 0; 1; 0x0; unknown; unknown; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
__libc_start_main; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   38;             14286052;                    0;                    0;                    1; 1; 10; 0x28530; __libc_start_main; __libc_start_main; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
main; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                  108;             14285890;                    0;                    0;                    1; 1; 15; 0x1D560; main; main; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/live.c; 9847
live_initialize_decoder; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   15;              9744885;                    0;                    0;                    1; 1; 8; 0x1CFE0; live_initialize_decoder; live_initialize_decoder; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/live.c; 9847
kb_init; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   41;              9739146;                    0;                    0;                    1; 1; 19; 0x14924; kb_init; kb_init; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/kb.c; 9847
kbcore_init; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   30;              9494520;                    0;                    0;                    1; 1; 14; 0x10E34; kbcore_init; kbcore_init; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/kbcore.c; 9847
mdef_init; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                19773;              4411866;                    0;                    0;                    1; 1; 15; 0xA92C; mdef_init; mdef_init; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/mdef.c; 9847
parse_tri_line; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                76978;              3967468;                    0;                    0;               133500; 1; 4; 0xA3F0; parse_tri_line; parse_tri_line; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/mdef.c; 9847
parse_tmat_senmap; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                65895;              1991207;                    0;                    0;               133548; 2; 1; 0x9EA2; parse_tmat_senmap; parse_tmat_senmap; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/mdef.c; 9847
sscanf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;               171021;              6956704;                    0;                    0;              1776351; 7; 1; 0x36C28; sscanf; sscanf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
__vsscanf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;               331307;              6785683;                    0;                    0;              1776351; 1; 3; 0x38020; __vsscanf; __vsscanf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
_IO_vfscanf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;              2624753;              5891551;                    0;                    0;              1776354; 2; 11; 0x57838; _IO_vfscanf; _IO_vfscanf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
__pthread_internal_tsd_address; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;              1749444;              1749444;                    0;                    0;             28576276; 6; 0; 0x239A4; __pthread_internal_tsd_address; __pthread_internal_tsd_address; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
