VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                    7;                    7;                    0;                    0;                    4; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__flockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                14001;                32392;                    0;                    0;                78221; 8; 1; 0x16BD4; __flockfile; __flockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__strtol_internal; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    4;                    4;                    0;                    0;                    3; 1; 1; 0x20F38; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
strpbrk; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    1;                    1;                    0;                    0;                    6; 1; 0; 0x66340; strpbrk; strpbrk; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__funlockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                14252;                23870;                    0;                    0;                78221; 8; 1; 0x16BE8; __funlockfile; __funlockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
vfprintf; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                  293;                 1948;                    0;                    0;                  187; 3; 7; 0x407CC; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__printf_fp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                  613;                 1301;                    0;                    0;                  173; 1; 11; 0x451C4; __printf_fp; __printf_fp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__strdup; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   55;                  152;                    0;                    0;                  182; 2; 2; 0x313D8; __strdup; __strdup; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
strncmp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 1; 0; 0x31418; strncmp; strncmp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
strrchr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x314A0; strrchr; strrchr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__mpn_lshift; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   20;                   20;                    0;                    0;                  173; 1; 0; 0x24E00; __mpn_lshift; __mpn_lshift; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
strstr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    3;                    3;                    0;                    0;                    6; 2; 0; 0x3165C; strstr; strstr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__mpn_rshift; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   20;                   20;                    0;                    0;                  190; 1; 0; 0x24E60; __mpn_rshift; __mpn_rshift; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__ubp_memchr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    3; 1; 0; 0x31720; __ubp_memchr; __ubp_memchr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
__mpn_mul; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   31;                   53;                    0;                    0;                  153; 1; 1; 0x24EB8; __mpn_mul; __mpn_mul; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_nosse; unknown; 8414
