VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                    9;                    9;                    0;                    0;                    4; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
__flockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                 7840;                14884;                    0;                    0;                78221; 8; 1; 0x16C34; __flockfile; __flockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
__strtol_internal; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    3;                    3;                    0;                    0;                    3; 1; 1; 0x20F98; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
strpbrk; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    1;                    1;                    0;                    0;                    6; 1; 0; 0x663A0; strpbrk; strpbrk; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
__funlockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                 8029;                15143;                    0;                    0;                78221; 8; 1; 0x16C48; __funlockfile; __funlockfile; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
vfprintf; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                  214;                 1162;                    0;                    0;                  187; 3; 7; 0x4082C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
__printf_fp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                  313;                  694;                    0;                    0;                  173; 1; 11; 0x45224; __printf_fp; __printf_fp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
__strdup; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                   37;                  132;                    0;                    0;                  182; 2; 2; 0x31438; __strdup; __strdup; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
strncmp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 1; 0; 0x31478; strncmp; strncmp; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
strrchr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    1;                    1;                    0;                    0;                    1; 1; 0; 0x31500; strrchr; strrchr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
__mpn_lshift; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                   11;                   11;                    0;                    0;                  173; 1; 0; 0x24E60; __mpn_lshift; __mpn_lshift; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
strstr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    2;                    2;                    0;                    0;                    6; 2; 0; 0x316BC; strstr; strstr; /home/adve_s/sasanka/alex/release/Face_rec_SSE/execs/face_project_sse; unknown; 8461
