VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                  189;                  189;                    0;                    0;                    9; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; unknown; 5916
_IO_no_init; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  195;                  195;                    0;                    0;                  600; 1; 0; 0x1DBE0; _IO_no_init; _IO_no_init; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; unknown; 5916
decode_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                53592;                53592;                    0;                    0;               630590; 1; 0; 0x647A; decode_motion_vector; decode_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/motion.c; 5916
Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                52270;               919657;                    0;                    0;               189793; 1; 2; 0x6618; Thrd_motion_vectors; Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/motion.c; 5916
Thrd_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               102192;               787459;                    0;                    0;               315295; 1; 3; 0x6716; Thrd_motion_vector; Thrd_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/motion.c; 5916
main; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   16;              7664131;                    0;                    0;                    1; 1; 13; 0x67EC; main; main; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    8;                    0;                    0;                    1; 1; 1; 0x69E6; Initialize_Frame_Buffer; Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Initialize_Decoder; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    4;                   12;                    0;                    0;                    1; 1; 2; 0x69FE; Initialize_Decoder; Initialize_Decoder; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Initialize_Sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    5;                  140;                    0;                    0;                    1; 1; 2; 0x6B2C; Initialize_Sequence; Initialize_Sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Process_Options; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    3;                    5;                    0;                    0;                    1; 1; 2; 0x6EA0; Process_Options; Process_Options; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Headers; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   83;                 2530;                    0;                    0;                  152; 2; 1; 0x71DC; Headers; Headers; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Decode_Bitstream; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;              7664055;                    0;                    0;                    1; 1; 2; 0x7236; Decode_Bitstream; Decode_Bitstream; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Deinitialize_Sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   11;                  200;                    0;                    0;                    1; 1; 1; 0x7256; Deinitialize_Sequence; Deinitialize_Sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
video_sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  104;              7664030;                    0;                    0;                    1; 1; 5; 0x72D2; video_sequence; video_sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
Clear_Options; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    6;                    6;                    0;                    0;                    1; 1; 0; 0x7348; Clear_Options; Clear_Options; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
form_predictions; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                50864;               709562;                    0;                    0;               177711; 1; 1; 0x73C4; form_predictions; form_predictions; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 5916
form_prediction; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               164531;               658698;                    0;                    0;               473258; 1; 2; 0x7B18; form_prediction; form_prediction; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/recon.c; 5916
form_component_prediction; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               302035;               302035;                    0;                    0;               473258; 1; 0; 0x7CD4; form_component_prediction; form_component_prediction; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_nosse; src/recon.c; 5916
