VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                  213;                  213;                    0;                    0;                    9; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; unknown; 6011
_IO_no_init; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                  157;                  157;                    0;                    0;                  600; 1; 0; 0x1DA50; _IO_no_init; _IO_no_init; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; unknown; 6011
decode_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                60114;                60114;                    0;                    0;               630590; 1; 0; 0x5B9E; decode_motion_vector; decode_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/motion.c; 6011
Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                77601;              1234733;                    0;                    0;               189793; 1; 2; 0x5D3C; Thrd_motion_vectors; Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/motion.c; 6011
Thrd_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;               152947;              1049543;                    0;                    0;               315295; 1; 3; 0x5E3A; Thrd_motion_vector; Thrd_motion_vector; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/motion.c; 6011
main; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                   17;              8436771;                    0;                    0;                    1; 1; 13; 0x5F10; main; main; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 6011
Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    0;                    6;                    0;                    0;                    1; 1; 1; 0x610A; Initialize_Frame_Buffer; Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 6011
Initialize_Decoder; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    2;                   10;                    0;                    0;                    1; 1; 2; 0x6122; Initialize_Decoder; Initialize_Decoder; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 6011
Initialize_Sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    4;                  130;                    0;                    0;                    1; 1; 2; 0x6250; Initialize_Sequence; Initialize_Sequence; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 6011
Process_Options; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    3;                    5;                    0;                    0;                    1; 1; 2; 0x65C4; Process_Options; Process_Options; /home/adve_s/sasanka/alex/release/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 6011
