VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
write_buf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;               100000;               100126;                    0;                    0;              1468167; 1; 4; 0x10144; write_buf; write_buf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/quantize.c; 4687
__free; /lib/i686/libc.so.6; Thread_4000; ;                 1243;                 1243;                    0;                    0;                  460; 2; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
put_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;               463582;               563708;                    0;                    0;              4771524; 13; 1; 0x101C2; put_bits; put_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
align_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                  653;                 1567;                    0;                    0;                 4650; 2; 1; 0x1026A; align_bits; align_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
getenv; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    3;                    3;                    0;                    0;                    6; 1; 1; 0x3478C; getenv; getenv; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
flushbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                52145;              1229434;                    0;                    0;                  150; 1; 2; 0x10288; flushbits; flushbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
initbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x102DE; initbits; initbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
putbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                  578;                 2926;                    0;                    0;                 4360; 9; 1; 0x1031C; putbits; putbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
_intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   54;                   57;                    0;                    0;                    8; 1; 1; 0x19548; _intel_fast_memcpy.J; _intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
alignbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   83;                  367;                    0;                    0;                  468; 9; 1; 0x103B2; alignbits; alignbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
_intel_fast_memcpy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    8; 1; 0; 0x1954E; _intel_fast_memcpy; _intel_fast_memcpy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
bitcount; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   18;                   18;                    0;                    0;                  150; 1; 0; 0x103C8; bitcount; bitcount; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/putbits.c; 4687
__strtol_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    3;                    3;                    0;                    0;                   75; 1; 1; 0x34C70; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
rc_init_seq; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x103E0; rc_init_seq; rc_init_seq; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/ratectl.c; 4687
__strtod_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   10;                   12;                    0;                    0;                    2; 1; 6; 0x543A0; __strtod_internal; __strtod_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
rc_init_GOP; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    6;                    6;                    0;                    0;                   13; 1; 0; 0x105EE; rc_init_GOP; rc_init_GOP; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/ratectl.c; 4687
round_and_return; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x56A7C; round_and_return; round_and_return; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
str_to_mpn; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    2;                    2;                    0;                    0;                    1; 1; 0; 0x56D44; str_to_mpn; str_to_mpn; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
vfprintf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                 1939;                 2363;                    0;                    0;                  750; 1; 1; 0x35CD8; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
calc_vbv_delay; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                  404;                  422;                    0;                    0;                  150; 1; 1; 0x10EFC; calc_vbv_delay; calc_vbv_delay; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; src/ratectl.c; 4687
__mpn_rshift; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x5A320; __mpn_rshift; __mpn_rshift; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
_IO_vfscanf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   50;                   68;                    0;                    0;                   54; 1; 7; 0x3E284; _IO_vfscanf; _IO_vfscanf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
pthread_attr_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   45;                   80;                    0;                    0;                  150; 1; 1; 0x127C0; pthread_attr_init; pthread_attr_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
_IO_file_doallocate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                  314;                 3887;                    0;                    0;                  452; 1; 3; 0x443F8; _IO_file_doallocate; _IO_file_doallocate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__pthread_attr_destroy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   13;                   13;                    0;                    0;                  150; 1; 0; 0x12814; __pthread_attr_destroy; __pthread_attr_destroy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__pthread_attr_setdetachstate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   13;                   13;                    0;                    0;                  150; 1; 0; 0x1281C; __pthread_attr_setdetachstate; __pthread_attr_setdetachstate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__intel_proc_init.H; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x19758; __intel_proc_init.H; __intel_proc_init.H; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__intel_proc_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                   10;                    0;                    0;                    2; 1; 1; 0x19762; __intel_proc_init; __intel_proc_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__intel_proc_init_ftzdaz; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x1978A; __intel_proc_init_ftzdaz; __intel_proc_init_ftzdaz; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__mpn_construct_double; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x5B1A4; __mpn_construct_double; __mpn_construct_double; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
has_osfxsr_set; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                   10;                    0;                    0;                    1; 1; 4; 0x1B502; has_osfxsr_set; has_osfxsr_set; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__intel_cpu_indicator_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                   10;                    0;                    0;                    1; 1; 1; 0x1B5C0; __intel_cpu_indicator_init; __intel_cpu_indicator_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__strsep_g; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    3;                    3;                    0;                    0;                    7; 1; 1; 0x5B7D8; __strsep_g; __strsep_g; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
init_mem_ops_method; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    3;                    3;                    0;                    0;                    1; 1; 0; 0x1B802; init_mem_ops_method; init_mem_ops_method; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__libc_start_main; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                   38;             33268568;                    0;                    0;                    1; 1; 10; 0x1BA10; __libc_start_main; __libc_start_main; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__libc_check_standard_fds; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    0;                    1;                    0;                    0;                    1; 1; 1; 0x1BC44; __libc_check_standard_fds; __libc_check_standard_fds; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
strstr; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                  141;                  141;                    0;                    0;                  453; 2; 0; 0x27CEC; strstr; strstr; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
__libc_csu_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; Thread_4000; ;                    3;                   21;                    0;                    0;                    1; 1; 3; 0x1BD98; __libc_csu_init; __libc_csu_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc; unknown; 4687
