VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                  968;                  968;                    0;                    0;                  460; 2; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
put_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;               362329;               433205;                    0;                    0;              4454352; 13; 1; 0xF2EA; put_bits; put_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
align_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  570;                 1374;                    0;                    0;                 4650; 2; 1; 0xF392; align_bits; align_bits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
getenv; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    3;                    3;                    0;                    0;                    6; 1; 1; 0x338AC; getenv; getenv; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
flushbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                51389;              1023016;                    0;                    0;                  150; 1; 2; 0xF3B0; flushbits; flushbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
initbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    2;                    0;                    0;                    1; 1; 1; 0xF406; initbits; initbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
putbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  493;                 2297;                    0;                    0;                 4360; 9; 1; 0xF444; putbits; putbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
_intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   54;                   57;                    0;                    0;                    8; 1; 1; 0x18668; _intel_fast_memcpy.J; _intel_fast_memcpy.J; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
alignbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   73;                  302;                    0;                    0;                  468; 9; 1; 0xF4DA; alignbits; alignbits; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
_intel_fast_memcpy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    8; 1; 0; 0x1866E; _intel_fast_memcpy; _intel_fast_memcpy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
bitcount; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   17;                   17;                    0;                    0;                  150; 1; 0; 0xF4F0; bitcount; bitcount; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/putbits.c; 4944
__strtol_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    3;                    3;                    0;                    0;                   75; 1; 1; 0x33D90; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
rc_init_seq; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0xF508; rc_init_seq; rc_init_seq; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/ratectl.c; 4944
__strtod_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   10;                   12;                    0;                    0;                    2; 1; 6; 0x534C0; __strtod_internal; __strtod_internal; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
rc_init_GOP; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    7;                    7;                    0;                    0;                   13; 1; 0; 0xF716; rc_init_GOP; rc_init_GOP; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/ratectl.c; 4944
round_and_return; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x55B9C; round_and_return; round_and_return; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
str_to_mpn; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    2;                    2;                    0;                    0;                    1; 1; 0; 0x55E64; str_to_mpn; str_to_mpn; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
vfprintf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                 1760;                 2144;                    0;                    0;                  750; 1; 1; 0x34DF8; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
calc_vbv_delay; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  161;                  178;                    0;                    0;                  150; 1; 1; 0x10024; calc_vbv_delay; calc_vbv_delay; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; src/ratectl.c; 4944
__mpn_rshift; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x59440; __mpn_rshift; __mpn_rshift; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
_IO_vfscanf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   52;                   70;                    0;                    0;                   54; 1; 7; 0x3D3A4; _IO_vfscanf; _IO_vfscanf; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
pthread_attr_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   25;                   56;                    0;                    0;                  150; 1; 1; 0x118E0; pthread_attr_init; pthread_attr_init; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
_IO_file_doallocate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                  254;                 3694;                    0;                    0;                  452; 1; 3; 0x43518; _IO_file_doallocate; _IO_file_doallocate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
__pthread_attr_destroy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    8;                    8;                    0;                    0;                  150; 1; 0; 0x11934; __pthread_attr_destroy; __pthread_attr_destroy; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
__pthread_attr_setdetachstate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                   11;                   11;                    0;                    0;                  150; 1; 0; 0x1193C; __pthread_attr_setdetachstate; __pthread_attr_setdetachstate; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
__intel_proc_init.H; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x18878; __intel_proc_init.H; __intel_proc_init.H; /home/adve_s/sasanka/alex/release/MPGenc/execs/mpeg2enc_sse; unknown; 4944
