VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
vithist_rescore; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                38770;               180659;                    0;                    0;                14357; 1; 4; 0x1356E; vithist_rescore; vithist_rescore; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 9847
__free; /lib/i686/libc.so.6; Thread_4000; ;               121568;               121568;                    0;                    0;               362248; 27; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
vithist_frame_gc; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                  432;                  432;                    0;                    0;                  478; 1; 0; 0x1374C; vithist_frame_gc; vithist_frame_gc; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 9847
vfprintf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 1137;                12492;                    0;                    0;                 1612; 5; 9; 0x2E61C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                18935;                43403;                    0;                    0;               135505; 2; 2; 0x4076; enter; enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 9847
vithist_prune; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 5462;                51134;                    0;                    0;                  478; 1; 8; 0x138C2; vithist_prune; vithist_prune; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 9847
hash_enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   32;                  158;                    0;                    0;                  237; 3; 2; 0x40FE; hash_enter; hash_enter; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 9847
vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 2693;                14534;                    0;                    0;                  479; 2; 2; 0x13ABC; vithist_lmstate_reset; vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 9847
hash_enter_bkey; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                26085;               176216;                    0;                    0;               135268; 2; 4; 0x4140; hash_enter_bkey; hash_enter_bkey; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 9847
vithist_frame_windup; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                  134;                14668;                    0;                    0;                  478; 1; 1; 0x13B40; vithist_frame_windup; vithist_frame_windup; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 9847
__pthread_internal_tsd_set; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                    9;                    9;                    0;                    0;                    4; 1; 0; 0x238E0; __pthread_internal_tsd_set; __pthread_internal_tsd_set; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
buffered_vfprintf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                  561;                12261;                    0;                    0;                  805; 1; 6; 0x328E4; buffered_vfprintf; buffered_vfprintf; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
hash_tolist; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 3210;                 8561;                    0;                    0;                    3; 2; 1; 0x4184; hash_tolist; hash_tolist; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 9847
vithist_utt_end; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                    1;                    1;                    0;                    0;                    2; 2; 2; 0x13BBA; vithist_utt_end; vithist_utt_end; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 9847
__pthread_internal_tsd_get; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;               229539;               229539;                    0;                    0;              3872262; 5; 0; 0x23944; __pthread_internal_tsd_get; __pthread_internal_tsd_get; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
hash_free; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 2286;                 3809;                    0;                    0;                    3; 2; 1; 0x421A; hash_free; hash_free; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 9847
__pthread_internal_tsd_address; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;              1749444;              1749444;                    0;                    0;             28576276; 6; 0; 0x239A4; __pthread_internal_tsd_address; __pthread_internal_tsd_address; /home/adve_s/sasanka/alex/release/Sphinx3_SSE/execs/livepretend_nosse; unknown; 9847
