VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                    6;                    6;                    0;                    0;                    3; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__flockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                 3354;                 8008;                    0;                    0;                78058; 9; 1; 0x16B14; __flockfile; __flockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__strtol_internal; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    2;                    2;                    0;                    0;                    3; 1; 1; 0x20E78; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
strpbrk; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 1; 0; 0x66280; strpbrk; strpbrk; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__funlockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                 3184;                 7408;                    0;                    0;                78058; 9; 1; 0x16B28; __funlockfile; __funlockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   28;                  101;                    0;                    0;                   12; 2; 6; 0x4070C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__strdup; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   42;                  254;                    0;                    0;                  701; 2; 2; 0x31318; __strdup; __strdup; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
strncmp; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 1; 0; 0x31358; strncmp; strncmp; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
strrchr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x313E0; strrchr; strrchr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
strstr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    2;                    2;                    0;                    0;                    5; 2; 0; 0x3159C; strstr; strstr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__ubp_memchr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    3; 1; 0; 0x31660; __ubp_memchr; __ubp_memchr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
memset; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 4; 0; 0x3187C; memset; memset; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__mempcpy; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    1;                    1;                    0;                    0;                   12; 4; 0; 0x318C4; __mempcpy; __mempcpy; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__pthread_lock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                 4654;                 4654;                    0;                    0;                78065; 3; 0; 0x17314; __pthread_lock; __pthread_lock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__pthread_unlock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                 4224;                 4224;                    0;                    0;                78065; 3; 0; 0x174C8; __pthread_unlock; __pthread_unlock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__pthread_alt_lock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    4; 3; 1; 0x175A0; __pthread_alt_lock; __pthread_alt_lock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__strcasecmp; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    5;                    5;                    0;                    0;                   51; 3; 1; 0x31944; __strcasecmp; __strcasecmp; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
_IO_vfscanf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                   19;                   21;                    0;                    0;                    3; 1; 6; 0x4CFE8; _IO_vfscanf; _IO_vfscanf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__pthread_alt_unlock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    4; 3; 1; 0x178F8; __pthread_alt_unlock; __pthread_alt_unlock; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
memcpy; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                 3149;                 3149;                    0;                    0;                78731; 4; 0; 0x31B34; memcpy; memcpy; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
__pthread_acquire; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    4; 2; 0; 0x17AB4; __pthread_acquire; __pthread_acquire; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
_IO_file_doallocate; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    0;                   16;                    0;                    0;                    5; 1; 3; 0x5315C; _IO_file_doallocate; _IO_file_doallocate; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
printf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; Thread_4000; ;                    2;                   95;                    0;                    0;                   10; 4; 1; 0x25A6C; printf; printf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_nosse; unknown; 833
