VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                    8;                    8;                    0;                    0;                    3; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
__flockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                 5161;                10760;                    0;                    0;                78058; 9; 1; 0x16B74; __flockfile; __flockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
__strtol_internal; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    3;                    3;                    0;                    0;                    3; 1; 1; 0x20ED8; __strtol_internal; __strtol_internal; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
strpbrk; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 1; 0; 0x662E0; strpbrk; strpbrk; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
__funlockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                 5215;                10796;                    0;                    0;                78058; 9; 1; 0x16B88; __funlockfile; __funlockfile; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                   34;                  113;                    0;                    0;                   12; 2; 6; 0x4076C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
__strdup; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                   99;                  357;                    0;                    0;                  701; 2; 2; 0x31378; __strdup; __strdup; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
strncmp; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    6; 1; 0; 0x313B8; strncmp; strncmp; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
strrchr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x31440; strrchr; strrchr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
strstr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; Thread_4000; ;                    2;                    2;                    0;                    0;                    5; 2; 0; 0x315FC; strstr; strstr; /home/adve_s/sasanka/alex/release/vtune_code/Face_rec_SSE/execs/face_project_sse; unknown; 598
