VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                  249;                  249;                    0;                    0;                    9; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; unknown; 26619
_IO_no_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                  157;                  157;                    0;                    0;                  600; 1; 0; 0x1C670; _IO_no_init; _IO_no_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; unknown; 26619
decode_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                60974;                60974;                    0;                    0;               853648; 1; 0; 0x5ACE; decode_motion_vector; decode_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/motion.c; 26619
Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                59832;              1045256;                    0;                    0;               237407; 1; 2; 0x5C6C; Thrd_motion_vectors; Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/motion.c; 26619
Thrd_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;               118110;               879650;                    0;                    0;               426824; 1; 3; 0x5D6A; Thrd_motion_vector; Thrd_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/motion.c; 26619
main; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                   13;              5757053;                    0;                    0;                    1; 1; 13; 0x5E40; main; main; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 26619
Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x603A; Initialize_Frame_Buffer; Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 26619
Initialize_Decoder; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    2;                   16;                    0;                    0;                    1; 1; 2; 0x6052; Initialize_Decoder; Initialize_Decoder; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 26619
Initialize_Sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    5;                  139;                    0;                    0;                    1; 1; 2; 0x6180; Initialize_Sequence; Initialize_Sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 26619
Process_Options; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; Thread_4000; ;                    3;                    5;                    0;                    0;                    1; 1; 2; 0x64F4; Process_Options; Process_Options; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_sse; src/mpeg2dec.c; 26619
