"[NAME(1)]";" [MODULE(2)]";" [THREAD(3)]";" [CLASS(4)]";" [SELF_TIME(5)]";" [TOTAL_TIME(6)]";" [WAIT_TIME(7)]";" [TOTAL_WAIT_TIME(8)]";" [#_CALLS(9)]";" [#_CALLERS(10)]";" [#_CALLEES(11)]";" [ADDRESS(12)]";" [MANGLED_NAME(13)]";" [DISPLAY_NAME(14)]";" [PROCESS(15)]";" [SOURCE_FILE(16)]";" [PID(17)]"
"__libc_start_main";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";57;32058436;0;0;1;1;10;" 0x1B9D0";" __libc_start_main";" __libc_start_main";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" unknown";25712
"main";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";14;32058179;0;0;1;1;8;" 0xBFAC";" main";" main";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/motion.c";25712
"putseq";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";614;32055192;0;0;1;1;12;" 0x67DC";" putseq";" putseq";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/putseq.c";25712
"thread_work_dist";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";275;31680267;0;0;150;1;5;" 0x674E";" thread_work_dist";" thread_work_dist";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/putseq.c";25712
"thread_work";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";809;31649325;0;0;150;1;8;" 0x6688";" thread_work";" thread_work";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/transfrm.c";25712
"ptmotion_estimation";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";15883;18979057;0;0;150;1;1;" 0x738E";" ptmotion_estimation";" ptmotion_estimation";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/motion.c";25712
"frame_ME";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";137169;18963174;0;0;198000;1;5;" 0x74B2";" frame_ME";" frame_ME";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/motion.c";25712
"frame_estimate";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";164126;16691991;0;0;311520;1;1;" 0x95E8";" frame_estimate";" frame_estimate";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/motion.c";25712
"fullsearch";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";3267764;16527865;0;0;1557600;1;1;" 0xA452";" fullsearch";" fullsearch";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/motion.c";25712
"dist1";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" Thread_4000";" ";13260101;13260101;0;0;42836076;1;0;" 0xABBC";" dist1";" dist1";" /home/adve_s/sasanka/alex/release/vtune_code/MPGenc/execs/mpeg2enc_nosse";" src/motion.c";25712
