VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
vithist_frame_gc; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                  387;                  387;                    0;                    0;                  478; 1; 0; 0x1364C; vithist_frame_gc; vithist_frame_gc; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 1987
__free; /lib/i686/libc.so.6; Thread_4000; ;                91925;                91925;                    0;                    0;               362248; 27; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 1987
vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                  968;                11587;                    0;                    0;                 1612; 5; 9; 0x2E51C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 1987
enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                17653;                39598;                    0;                    0;               135505; 2; 2; 0x4006; enter; enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 1987
vithist_prune; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 3320;                31234;                    0;                    0;                  478; 1; 8; 0x137C2; vithist_prune; vithist_prune; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 1987
hash_enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   23;                  127;                    0;                    0;                  237; 3; 2; 0x408E; hash_enter; hash_enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 1987
__pthread_key_create; /lib/i686/libpthread.so.0; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x9170; __pthread_key_create; __pthread_key_create; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; unknown; 1987
vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                 1496;                 9701;                    0;                    0;                  479; 2; 2; 0x139BC; vithist_lmstate_reset; vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 1987
hash_enter_bkey; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                19623;               153037;                    0;                    0;               135268; 2; 4; 0x40D0; hash_enter_bkey; hash_enter_bkey; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/hash.c; 1987
vithist_frame_windup; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; Thread_4000; ;                   76;                 9777;                    0;                    0;                  478; 1; 1; 0x13A40; vithist_frame_windup; vithist_frame_windup; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_nosse; src/vithist.c; 1987
