VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
vithist_frame_gc; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  369;                  369;                    0;                    0;                  478; 1; 0; 0x13654; vithist_frame_gc; vithist_frame_gc; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 2053
__free; /lib/i686/libc.so.6; Thread_4000; ;                86586;                86586;                    0;                    0;               362248; 27; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; unknown; 2053
vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  852;                11098;                    0;                    0;                 1612; 5; 9; 0x2E52C; vfprintf; vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; unknown; 2053
enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                12705;                30195;                    0;                    0;               135505; 2; 2; 0x400A; enter; enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 2053
vithist_prune; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                 2432;                22466;                    0;                    0;                  478; 1; 8; 0x137CA; vithist_prune; vithist_prune; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 2053
hash_enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                   14;                  101;                    0;                    0;                  237; 3; 2; 0x4092; hash_enter; hash_enter; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 2053
__pthread_key_create; /lib/i686/libpthread.so.0; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 0; 0x9170; __pthread_key_create; __pthread_key_create; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; unknown; 2053
vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                 1031;                 7746;                    0;                    0;                  479; 2; 2; 0x139C4; vithist_lmstate_reset; vithist_lmstate_reset; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 2053
hash_enter_bkey; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                12883;               126894;                    0;                    0;               135268; 2; 4; 0x40D4; hash_enter_bkey; hash_enter_bkey; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 2053
vithist_frame_windup; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  110;                 7856;                    0;                    0;                  478; 1; 1; 0x13A48; vithist_frame_windup; vithist_frame_windup; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/vithist.c; 2053
buffered_vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                  256;                10959;                    0;                    0;                  805; 1; 6; 0x327F4; buffered_vfprintf; buffered_vfprintf; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; unknown; 2053
hash_tolist; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; Thread_4000; ;                 2218;                 5548;                    0;                    0;                    3; 2; 1; 0x4118; hash_tolist; hash_tolist; /home/adve_s/sasanka/alex/release/vtune_code/Sphinx3_SSE/execs/livepretend_sse; src/hash.c; 2053
